TIMESTAMP,START_TIMESTAMP,OBSERVED_TIMESTAMP,TRACE,RESOURCE,RESOURCE_ATTRIBUTES,SCOPE,SCOPE_ATTRIBUTES,RECORD_TYPE,RECORD,RECORD_ATTRIBUTES,VALUE,EXEMPLARS
2025-02-18 21:42:12.707,,2025-02-18 21:42:12.707,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""asyncio""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/asyncio/selector_events.py"",
  ""code.function"": ""__init__"",
  ""code.lineno"": 54
}","""Using selector: EpollSelector""",
2025-02-18 21:42:12.709,,2025-02-18 21:42:12.709,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.connection""
}",,LOG,"{
  ""severity_text"": ""INFO""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/connection.py"",
  ""code.function"": ""__init__"",
  ""code.lineno"": 212
}","""Snowflake Connector for Python Version: 0.33.0, Python Version: 3.11.11, Platform: XP""",
2025-02-18 21:42:12.709,,2025-02-18 21:42:12.709,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.connection""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/connection.py"",
  ""code.function"": ""_next_sequence_counter"",
  ""code.lineno"": 538
}","""sequence counter: 1""",
2025-02-18 21:42:12.744,,2025-02-18 21:42:12.744,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.converter""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/converter.py"",
  ""code.function"": ""__init__"",
  ""code.lineno"": 142
}","""use_numpy: False""",
2025-02-18 21:42:12.744,,2025-02-18 21:42:12.744,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.connection""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/connection.py"",
  ""code.function"": ""cursor"",
  ""code.lineno"": 520
}","""cursor""",
2025-02-18 21:42:12.745,,2025-02-18 21:42:12.745,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.snowpark.session""
}",,LOG,"{
  ""severity_text"": ""INFO""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/snowpark/session.py"",
  ""code.function"": ""__init__"",
  ""code.lineno"": 664
}","""Snowpark Session information: \n\""version\"" : 1.26.0,\n\""python.version\"" : 3.11.11,\n\""python.connector.version\"" : 0.33.0,\n\""python.connector.session.id\"" : None,\n\""os.name\"" : Linux\n""",
2025-02-18 21:42:12.767,,2025-02-18 21:42:12.767,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.connection""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/connection.py"",
  ""code.function"": ""cursor"",
  ""code.lineno"": 520
}","""cursor""",
2025-02-18 21:42:12.768,,2025-02-18 21:42:12.768,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.cursor""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/cursor.py"",
  ""code.function"": ""execute"",
  ""code.lineno"": 883
}","""executing SQL/command""",
2025-02-18 21:42:12.768,,2025-02-18 21:42:12.768,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.cursor""
}",,LOG,"{
  ""severity_text"": ""INFO""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/cursor.py"",
  ""code.function"": ""execute"",
  ""code.lineno"": 956
}","""query: [SELECT SYSTEM$GET_ALL_REFERENCES('order_table')]""",
2025-02-18 21:42:12.768,,2025-02-18 21:42:12.768,,,"{
  ""db.user"": ""PRATIKKANADE"",
  ""snow.application.id"": 34,
  ""snow.application.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.database.id"": 34,
  ""snow.database.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.executable.id"": 707,
  ""snow.executable.name"": ""STREAMLIT"",
  ""snow.executable.runtime.version"": ""3.11"",
  ""snow.executable.type"": ""STREAMLIT"",
  ""snow.owner.id"": 162,
  ""snow.owner.name"": ""NATIVE_APP_QUICKSTART_PACKAGE_ADMIN"",
  ""snow.patch"": 1,
  ""snow.query.id"": ""01ba7bb6-0002-7172-0007-43de0003a37a"",
  ""snow.schema.id"": 86,
  ""snow.schema.name"": ""APP_INSTANCE_SCHEMA"",
  ""snow.session.id"": 2044945599111310,
  ""snow.session.role.primary.id"": 2,
  ""snow.session.role.primary.name"": ""ACCOUNTADMIN"",
  ""snow.user.id"": 1,
  ""snow.version"": ""UNVERSIONED"",
  ""snow.warehouse.id"": 4,
  ""snow.warehouse.name"": ""COMPUTE_WH"",
  ""telemetry.sdk.language"": ""python""
}","{
  ""name"": ""snowflake.connector.connection""
}",,LOG,"{
  ""severity_text"": ""DEBUG""
}","{
  ""code.filepath"": ""/usr/lib/python_udf/34d54ff41b5eedfb54388ed5ef5526e3e09393cbadd574240c2d448d3a9d32a8/lib/python3.11/site-packages/snowflake/connector/connection.py"",
  ""code.function"": ""_next_sequence_counter"",
  ""code.lineno"": 538
}","""sequence counter: 2""",
